Source Name	Characteristics [strain]	Characteristics [Organism]	Characteristics [experiment]	Characteristics [reference]	Comment [Sample_source_name]	Comment [Sample_description]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [EXPERIMENT]	Factor Value [REFERENCE]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM468472 1	AMC 408	Synechococcus elongatus PCC 7942	1	  	continuous light T = 60 hours	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468472 extract 1	total_RNA	P-GSE18902-5	GSM468472 LE 1	Cy3	unknown	P-GSE18902-6	P-GSE18902-7	GSM468472	A-GEOD-9534	P-GSE18902-8	1	not specified	GSM468472.gpr	GSM468472.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468472_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468472 2	  	Synechococcus elongatus PCC 7942	  	average of samples in experiment 1	average of samples 1 to 16	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468472 extract 2	total_RNA	P-GSE18902-5	GSM468472 LE 2	Cy5	unknown	P-GSE18902-6	P-GSE18902-7	GSM468472	A-GEOD-9534	P-GSE18902-8	not specified	average of samples in experiment 1	GSM468472.gpr	GSM468472.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468472_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468478 2	  	Synechococcus elongatus PCC 7942	  	average of samples in experiment 1	average of samples 1 to 16	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468478 extract 2	total_RNA	P-GSE18902-5	GSM468478 LE 2	Cy5	unknown	P-GSE18902-6	P-GSE18902-7	GSM468478	A-GEOD-9534	P-GSE18902-8	not specified	average of samples in experiment 1	GSM468478.gpr	GSM468478.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468478_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468478 1	AMC 408	Synechococcus elongatus PCC 7942	1	  	continuous light T = 84 hours	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468478 extract 1	total_RNA	P-GSE18902-5	GSM468478 LE 1	Cy3	unknown	P-GSE18902-6	P-GSE18902-7	GSM468478	A-GEOD-9534	P-GSE18902-8	1	not specified	GSM468478.gpr	GSM468478.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468478_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468479 1	AMC 408	Synechococcus elongatus PCC 7942	2	  	novobiocin T = 56 hours	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468479 extract 1	total_RNA	P-GSE18902-5	GSM468479 LE 1	Cy3	unknown	P-GSE18902-6	P-GSE18902-7	GSM468479	A-GEOD-9534	P-GSE18902-8	2	not specified	GSM468479.gpr	GSM468479.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468479_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468479 2	  	Synechococcus elongatus PCC 7942	  	average of samples in experiment 2	average of samples 17 to 23	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468479 extract 2	total_RNA	P-GSE18902-5	GSM468479 LE 2	Cy5	unknown	P-GSE18902-6	P-GSE18902-7	GSM468479	A-GEOD-9534	P-GSE18902-8	not specified	average of samples in experiment 2	GSM468479.gpr	GSM468479.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468479_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468477 2	  	Synechococcus elongatus PCC 7942	  	average of samples in experiment 1	average of samples 1 to 16	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468477 extract 2	total_RNA	P-GSE18902-5	GSM468477 LE 2	Cy5	unknown	P-GSE18902-6	P-GSE18902-7	GSM468477	A-GEOD-9534	P-GSE18902-8	not specified	average of samples in experiment 1	GSM468477.gpr	GSM468477.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468477_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468477 1	AMC 408	Synechococcus elongatus PCC 7942	1	  	continuous light T = 80 hours	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468477 extract 1	total_RNA	P-GSE18902-5	GSM468477 LE 1	Cy3	unknown	P-GSE18902-6	P-GSE18902-7	GSM468477	A-GEOD-9534	P-GSE18902-8	1	not specified	GSM468477.gpr	GSM468477.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468477_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468467 2	  	Synechococcus elongatus PCC 7942	  	average of samples in experiment 1	average of samples 1 to 16	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468467 extract 2	total_RNA	P-GSE18902-5	GSM468467 LE 2	Cy5	unknown	P-GSE18902-6	P-GSE18902-7	GSM468467	A-GEOD-9534	P-GSE18902-8	not specified	average of samples in experiment 1	GSM468467.gpr	GSM468467.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468467_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468467 1	AMC 408	Synechococcus elongatus PCC 7942	1	  	continuous light T = 40 hours	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468467 extract 1	total_RNA	P-GSE18902-5	GSM468467 LE 1	Cy3	unknown	P-GSE18902-6	P-GSE18902-7	GSM468467	A-GEOD-9534	P-GSE18902-8	1	not specified	GSM468467.gpr	GSM468467.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468467_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
